City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,kingman,1,US,10/4/2019,16,35.19,-114.05,89.6,17.22
85,skibbereen,75,IE,10/4/2019,76,51.55,-9.27,53.6,17.22
86,dikson,100,RU,10/4/2019,91,73.51,80.55,27.6,22.57
87,aitape,84,PG,10/4/2019,61,-3.15,142.36,87.29,4.09
88,tarko-sale,68,RU,10/4/2019,92,64.92,77.78,39.99,21.9
89,padang,94,ID,10/4/2019,83,-0.92,100.36,78,9.93
90,coihaique,0,CL,10/4/2019,56,-45.58,-72.07,44.6,6.93
91,ponta do sol,0,BR,10/4/2019,50,-20.63,-46,67.83,10.42
92,mahalingpur,10,IN,10/4/2019,74,16.38,75.12,75.5,3.47
93,hobart,75,AU,10/4/2019,76,-42.88,147.33,55.99,20.8
94,morondava,0,MG,10/4/2019,74,-20.3,44.28,78.09,10.2
95,venado tuerto,100,AR,10/4/2019,89,-33.75,-61.97,50,8.01
96,ancud,75,CL,10/4/2019,80,-41.87,-73.83,41,5.82
97,lata,91,IN,10/4/2019,67,30.78,78.62,39.43,4.65
98,purwodadi,20,ID,10/4/2019,55,-7.08,110.92,86,9.17
99,sao filipe,100,CV,10/4/2019,83,14.9,-24.5,78.77,3.42
100,kambove,9,CD,10/4/2019,88,-10.88,26.6,60.25,6.11
101,caravelas,0,BR,10/4/2019,82,-17.73,-39.27,72.92,7.49
102,camalu,0,MX,10/4/2019,29,30.85,-116.07,48.99,8.01
103,hermanus,100,ZA,10/4/2019,75,-34.42,19.24,60.01,8.01
104,verkhnyaya inta,100,RU,10/4/2019,96,65.99,60.32,33.13,27.42
105,hobyo,59,SO,10/4/2019,90,5.35,48.53,76.34,4.59
106,tecoanapa,40,MX,10/4/2019,78,16.99,-99.26,80.6,1.99
107,geraldton,90,CA,10/4/2019,74,49.72,-86.95,35.6,8.05
108,coxim,28,BR,10/4/2019,62,-18.5,-54.75,80.59,1.07
109,briancon,0,FR,10/4/2019,46,44.9,6.65,52,7.83
110,porto franco,0,BR,10/4/2019,66,-6.34,-47.4,78.38,1.43
111,trelew,32,AR,10/4/2019,47,-43.25,-65.31,53.03,24.23
112,sicuani,100,PE,10/4/2019,74,-14.27,-71.23,43.84,3.6
113,magdagachi,0,RU,10/4/2019,30,53.45,125.8,45.33,7.07
114,ribeira grande,28,PT,10/4/2019,80,38.52,-28.7,70.48,23.51
115,lavrentiya,100,RU,10/4/2019,97,65.58,-170.99,37.64,10.11
116,khash,0,IR,10/4/2019,25,28.22,61.21,62.56,1.3
117,riviere-au-renard,5,CA,10/4/2019,85,49,-64.4,32,7.11
118,georgetown,0,GY,10/4/2019,94,6.8,-58.16,77,4.7
119,cidreira,100,BR,10/4/2019,92,-30.17,-50.22,64.16,13.18
120,quatre cocos,75,MU,10/4/2019,94,-20.21,57.76,73.4,13.87
121,rajula,0,IN,10/4/2019,83,21.04,71.44,77.8,5.97
122,bambous virieux,75,MU,10/4/2019,94,-20.34,57.76,73.4,13.87
123,hasaki,40,JP,10/4/2019,83,35.73,140.83,79,21.92
124,szczecinek,85,PL,10/4/2019,93,53.71,16.69,46.99,2.46
125,lorengau,62,PG,10/4/2019,77,-2.02,147.27,82.84,6.49
126,batsfjord,57,NO,10/4/2019,73,70.63,29.72,40.16,13.85
127,arraial do cabo,0,BR,10/4/2019,88,-22.97,-42.02,70.21,17.31
128,pontianak,100,ID,10/4/2019,82,-0.02,109.34,79.22,12.88
